"Variable","Overall"
"calibrat",100
"churndep",66.5700540560672
"eqpdays",12.8594981263371
"months",11.1143895810071
"changem",10.199838140231
"mourec",9.3292787793643
"opeakvce",9.18948082195703
"mou",9.18590981115703
"outcalls",7.88616209159262
"revenue",7.50119310313449
"changer",7.43189681281886
"unansvce",7.3551292338061
"peakvce",7.28134350982708
"age1",6.93196385203964
"recchrge",6.73274624086103
"incalls",5.94271193274324
"dropblk",5.73494114463139
"overage",5.61176514097016
"dropvce",5.49877734556717
"roam",4.27584662257587
